"DateTime";"Bitcoin Price Linear"
"1970-01-01 00:00:00";0,063
"1970-01-01 00:00:00";0,01
"1970-01-01 00:00:00";0,068
"1970-01-01 00:00:00";0,08
"1970-01-01 00:00:00";0,091
"1970-01-01 00:00:00";0,082
"1970-01-01 00:00:00";0,092
"1970-01-01 00:00:00";0,065
"1970-01-01 00:00:00";0,092
"1970-01-01 00:00:00";0,1
"1970-01-01 00:00:00";0,1
"1970-01-01 00:00:00";0,097
"1970-01-01 00:00:00";0,097
"1970-01-01 00:00:00";0,094
"1970-01-01 00:00:00";0,097
"1970-01-01 00:00:00";0,102
"1970-01-01 00:00:00";0,104
"1970-01-01 00:00:00";0,108
"1970-01-01 00:00:00";0,09
"1970-01-01 00:00:00";0,133
"1970-01-01 00:00:00";0,151
"1970-01-01 00:00:00";0,173
"1970-01-01 00:00:00";0,173
"1970-01-01 00:00:00";0,188
"1970-01-01 00:00:00";0,171
"1970-01-01 00:00:00";0,172
"1970-01-01 00:00:00";0,191
"1970-01-01 00:00:00";0,125
"1970-01-01 00:00:00";0,193
"1970-01-01 00:00:00";0,21
"1970-01-01 00:00:00";0,24
"1970-01-01 00:00:00";0,286
"1970-01-01 00:00:00";0,226
"1970-01-01 00:00:00";0,199
"1970-01-01 00:00:00";0,14
"1970-01-01 00:00:00";0,21
"1970-01-01 00:00:00";0,223
"1970-01-01 00:00:00";0,268
"1970-01-01 00:00:00";0,27
"1970-01-01 00:00:00";0,268
"1970-01-01 00:00:00";0,223
"1970-01-01 00:00:00";0,212
"1970-01-01 00:00:00";0,222
"1970-01-01 00:00:00";0,268
"1970-01-01 00:00:00";0,268
"1970-01-01 00:00:00";0,276
"1970-01-01 00:00:00";0,269
"1970-01-01 00:00:00";0,276
"1970-01-01 00:00:00";0,276
"1970-01-01 00:00:00";0,278
"1970-01-01 00:00:00";0,276
"1970-01-01 00:00:00";0,283
"1970-01-01 00:00:00";0,27
"1970-01-01 00:00:00";0,215
"1970-01-01 00:00:00";0,204
"1970-01-01 00:00:00";0,21
"1970-01-01 00:00:00";0,218
"1970-01-01 00:00:00";0,243
"1970-01-01 00:00:00";0,205
"1970-01-01 00:00:00";0,19
"1970-01-01 00:00:00";0,184
"1970-01-01 00:00:00";0,17
"1970-01-01 00:00:00";0,22
"1970-01-01 00:00:00";0,17
"1970-01-01 00:00:00";0,183
"1970-01-01 00:00:00";0,191
"1970-01-01 00:00:00";0,207
"1970-01-01 00:00:00";0,21
"1970-01-01 00:00:00";0,21
"1970-01-01 00:00:00";0,238
"1970-01-01 00:00:00";0,222
"1970-01-01 00:00:00";0,24
"1970-01-01 00:00:00";0,241
"1970-01-01 00:00:00";0,24
"1970-01-01 00:00:00";0,24
"1970-01-01 00:00:00";0,24
"1970-01-01 00:00:00";0,244
"1970-01-01 00:00:00";0,241
"1970-01-01 00:00:00";0,242
"1970-01-01 00:00:00";0,248
"1970-01-01 00:00:00";0,246
"1970-01-01 00:00:00";0,251
"1970-01-01 00:00:00";0,261
"1970-01-01 00:00:00";0,271
"1970-01-01 00:00:00";0,291
"1970-01-01 00:00:00";0,292
"1970-01-01 00:00:00";0,292
"1970-01-01 00:00:00";0,289
"1970-01-01 00:00:00";0,29
"1970-01-01 00:00:00";0,289
"1970-01-01 00:00:00";0,29
"1970-01-01 00:00:00";0,29
"1970-01-01 00:00:00";0,298
"1970-01-01 00:00:00";0,309
"1970-01-01 00:00:00";0,323
"1970-01-01 00:00:00";0,318
"1970-01-01 00:00:00";0,318
"1970-01-01 00:00:00";0,318
"1970-01-01 00:00:00";0,318
"1970-01-01 00:00:00";0,318
"1970-01-01 00:00:00";0,385
"1970-01-01 00:00:00";0,386
"1970-01-01 00:00:00";0,315
"1970-01-01 00:00:00";0,305
"1970-01-01 00:00:00";0,305
"1970-01-01 00:00:00";0,31
"1970-01-01 00:00:00";0,368
"1970-01-01 00:00:00";0,39
"1970-01-01 00:00:00";0,42
"1970-01-01 00:00:00";0,381
"1970-01-01 00:00:00";0,4
"1970-01-01 00:00:00";0,39
"1970-01-01 00:00:00";0,409
"1970-01-01 00:00:00";0,421
"1970-01-01 00:00:00";0,43
"1970-01-01 00:00:00";0,445
"1970-01-01 00:00:00";0,47
"1970-01-01 00:00:00";0,52
"1970-01-01 00:00:00";0,69
"1970-01-01 00:00:00";0,65
"1970-01-01 00:00:00";0,67
"1970-01-01 00:00:00";0,812
"1970-01-01 00:00:00";0,83
"1970-01-01 00:00:00";0,83
"1970-01-01 00:00:00";0,862
"1970-01-01 00:00:00";0,82
"1970-01-01 00:00:00";0,8
"1970-01-01 00:00:00";0,926
"1970-01-01 00:00:00";0,991
"1970-01-01 00:00:00";1,02
"1970-01-01 00:00:00";1,033
"1970-01-01 00:00:00";1,035
"1970-01-01 00:00:00";1,02
"1970-01-01 00:00:00";1,02
"1970-01-01 00:00:00";0,78
"1970-01-01 00:00:00";0,838
"1970-01-01 00:00:00";0,83
"1970-01-01 00:00:00";0,831
"1970-01-01 00:00:00";0,831
"1970-01-01 00:00:00";0,868
"1970-01-01 00:00:00";0,9
"1970-01-01 00:00:00";0,911
"1970-01-01 00:00:00";0,911
"1970-01-01 00:00:00";0,89
"1970-01-01 00:00:00";0,845
"1970-01-01 00:00:00";0,85
"1970-01-01 00:00:00";0,91
"1970-01-01 00:00:00";0,91
"1970-01-01 00:00:00";0,9
"1970-01-01 00:00:00";0,811
"1970-01-01 00:00:00";0,81
"1970-01-01 00:00:00";0,846
"1970-01-01 00:00:00";0,85
"1970-01-01 00:00:00";0,85
"1970-01-01 00:00:00";0,85
"1970-01-01 00:00:00";0,86
"1970-01-01 00:00:00";0,88
"1970-01-01 00:00:00";0,89
"1970-01-01 00:00:00";0,88
"1970-01-01 00:00:00";0,87
"1970-01-01 00:00:00";0,836
"1970-01-01 00:00:00";0,81
"1970-01-01 00:00:00";0,71
"1970-01-01 00:00:00";0,731
"1970-01-01 00:00:00";0,74
"1970-01-01 00:00:00";0,741
"1970-01-01 00:00:00";0,741
"1970-01-01 00:00:00";0,78
"1970-01-01 00:00:00";0,827
"1970-01-01 00:00:00";0,861
"1970-01-01 00:00:00";0,841
"1970-01-01 00:00:00";0,815
"1970-01-01 00:00:00";0,76
"1970-01-01 00:00:00";0,765
"1970-01-01 00:00:00";0,766
"1970-01-01 00:00:00";0,768
"1970-01-01 00:00:00";0,774
"1970-01-01 00:00:00";0,774
"1970-01-01 00:00:00";0,777
"1970-01-01 00:00:00";0,562
"1970-01-01 00:00:00";0,58
"1970-01-01 00:00:00";0,69
"1970-01-01 00:00:00";0,721
"1970-01-01 00:00:00";0,731
"1970-01-01 00:00:00";0,721
"1970-01-01 00:00:00";0,71
"1970-01-01 00:00:00";0,71
"1970-01-01 00:00:00";0,77
"1970-01-01 00:00:00";0,86
"1970-01-01 00:00:00";0,91
"1970-01-01 00:00:00";0,911
"1970-01-01 00:00:00";0,954
"1970-01-01 00:00:00";1,026
"1970-01-01 00:00:00";1,11
"1970-01-01 00:00:00";1,144
"1970-01-01 00:00:00";1,13
"1970-01-01 00:00:00";1,14
"1970-01-01 00:00:00";1,189
"1970-01-01 00:00:00";1,32
"1970-01-01 00:00:00";1,6
"1970-01-01 00:00:00";1,521
"1970-01-01 00:00:00";1,53
"1970-01-01 00:00:00";1,72
"1970-01-01 00:00:00";1,66
"1970-01-01 00:00:00";2,21
"1970-01-01 00:00:00";2,75
"1970-01-01 00:00:00";2,5
"1970-01-01 00:00:00";3,029
"1970-01-01 00:00:00";3,11
"1970-01-01 00:00:00";3,25
"1970-01-01 00:00:00";3,333
"1970-01-01 00:00:00";3,29
"1970-01-01 00:00:00";3,425
"1970-01-01 00:00:00";3,63
"1970-01-01 00:00:00";3,691
"1970-01-01 00:00:00";3,81
"1970-01-01 00:00:00";4,6
"1970-01-01 00:00:00";5,22
"1970-01-01 00:00:00";6,32
"1970-01-01 00:00:00";5,83
"1970-01-01 00:00:00";6,2
"1970-01-01 00:00:00";6,75
"1970-01-01 00:00:00";6,98
"1970-01-01 00:00:00";6,6
